,over_draft,credit_usage,credit_history,purpose,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
161,'no checking',18.0,'critical/other existing credit','new car','<100','<1',4.0,'female div/dep/mar',none,1.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,0
162,'no checking',15.0,'existing paid','domestic appliance','500<=X<1000','4<=X<7',4.0,'male single',none,3.0,'life insurance',36.0,none,own,2.0,skilled,1.0,yes,yes,0
163,'0<=X<200',10.0,'existing paid','new car','<100',unemployed,2.0,'male single',none,4.0,'no known property',70.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
164,'no checking',36.0,'existing paid','new car','500<=X<1000','>=7',4.0,'male single',none,4.0,'life insurance',36.0,none,own,1.0,skilled,1.0,none,yes,0
165,'no checking',6.0,'existing paid',furniture/equipment,'500<=X<1000','1<=X<4',1.0,'male single',none,2.0,car,32.0,none,own,1.0,skilled,1.0,yes,yes,0
166,'<0',18.0,'existing paid',furniture/equipment,'<100',unemployed,4.0,'female div/dep/mar',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,1
167,'0<=X<200',11.0,'existing paid',furniture/equipment,'>=1000','<1',4.0,'female div/dep/mar',none,1.0,'real estate',20.0,none,own,1.0,skilled,1.0,none,yes,0
168,'no checking',24.0,'existing paid',furniture/equipment,'<100','4<=X<7',2.0,'female div/dep/mar',none,4.0,'life insurance',25.0,none,rent,1.0,skilled,1.0,yes,yes,0
169,'0<=X<200',24.0,'critical/other existing credit',business,'<100','>=7',4.0,'male div/sep',none,4.0,'real estate',31.0,none,own,2.0,skilled,1.0,yes,yes,1
170,'<0',15.0,'no credits/all paid','new car','<100','>=7',4.0,'male single',none,3.0,car,33.0,none,rent,2.0,skilled,2.0,none,yes,1
171,'no checking',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',4.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,yes,0
172,'0<=X<200',24.0,'delayed previously',furniture/equipment,'<100',unemployed,3.0,'female div/dep/mar',none,2.0,'life insurance',34.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
173,'0<=X<200',8.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single',guarantor,2.0,'real estate',33.0,none,own,1.0,skilled,1.0,none,no,0
174,'<0',21.0,'delayed previously',education,'<100','<1',2.0,'male single',none,1.0,'life insurance',26.0,none,own,2.0,skilled,1.0,none,yes,1
175,'no checking',30.0,'all paid','used car','no known savings',unemployed,4.0,'female div/dep/mar',none,1.0,'real estate',53.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
176,'<0',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male div/sep',none,1.0,car,42.0,none,own,1.0,skilled,1.0,none,yes,0
177,'<0',6.0,'critical/other existing credit',radio/tv,'500<=X<1000','>=7',4.0,'male single',none,4.0,car,52.0,none,own,2.0,skilled,1.0,none,yes,0
178,'no checking',12.0,'existing paid',radio/tv,'<100','4<=X<7',4.0,'male single',none,2.0,car,31.0,none,rent,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
179,'<0',21.0,'critical/other existing credit','new car','<100','>=7',4.0,'male single',none,4.0,'real estate',65.0,none,own,2.0,skilled,1.0,none,yes,0
180,'no checking',36.0,'delayed previously',business,'<100','<1',1.0,'male div/sep',none,1.0,car,28.0,none,own,2.0,skilled,1.0,none,yes,1
181,'0<=X<200',36.0,'delayed previously',business,'<100','1<=X<4',2.0,'male div/sep',none,2.0,'real estate',30.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
182,'<0',21.0,'all paid','new car','no known savings','1<=X<4',4.0,'male single',none,2.0,'life insurance',40.0,none,own,2.0,'unskilled resident',2.0,none,yes,1
183,'no checking',24.0,'critical/other existing credit',furniture/equipment,'>=1000','1<=X<4',4.0,'male single',none,4.0,'real estate',50.0,none,own,1.0,skilled,1.0,yes,yes,0
184,'0<=X<200',18.0,'critical/other existing credit','new car','<100','>=7',4.0,'male single',none,4.0,car,36.0,bank,own,1.0,skilled,2.0,yes,yes,1
185,'no checking',15.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,'life insurance',31.0,none,own,2.0,skilled,1.0,none,yes,0
186,'0<=X<200',9.0,'all paid','used car','<100','>=7',2.0,'female div/dep/mar',none,4.0,'no known property',74.0,bank,'for free',1.0,'high qualif/self emp/mgmt',2.0,yes,yes,1
187,'0<=X<200',16.0,'critical/other existing credit','new car','<100',unemployed,2.0,'male single',none,3.0,car,68.0,none,'for free',3.0,'unemp/unskilled non res',1.0,yes,yes,0
188,'<0',12.0,'existing paid',radio/tv,'100<=X<500','4<=X<7',4.0,'male mar/wid',none,1.0,'life insurance',20.0,none,own,1.0,skilled,1.0,none,yes,1
189,'0<=X<200',18.0,'no credits/all paid',furniture/equipment,'<100','1<=X<4',1.0,'female div/dep/mar',none,4.0,car,33.0,bank,own,2.0,skilled,1.0,yes,yes,0
190,'no checking',24.0,'existing paid',business,'>=1000','1<=X<4',2.0,'male single',none,3.0,'life insurance',54.0,none,own,3.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
191,'0<=X<200',48.0,'no credits/all paid',business,'100<=X<500','4<=X<7',4.0,'male single',none,4.0,'no known property',34.0,none,'for free',1.0,'unskilled resident',2.0,none,yes,1
192,'0<=X<200',27.0,'existing paid',business,'<100','1<=X<4',4.0,'male single',none,2.0,car,36.0,none,own,1.0,skilled,2.0,yes,yes,1
193,'no checking',6.0,'existing paid',radio/tv,'<100','4<=X<7',2.0,'male mar/wid',none,2.0,'real estate',29.0,none,rent,1.0,skilled,1.0,none,yes,0
194,'0<=X<200',45.0,'existing paid',radio/tv,'100<=X<500','1<=X<4',4.0,'male single',guarantor,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,1
195,'0<=X<200',9.0,'critical/other existing credit',education,'<100','>=7',2.0,'female div/dep/mar',none,3.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
196,'no checking',6.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',1.0,'female div/dep/mar',none,1.0,car,28.0,none,own,2.0,skilled,1.0,yes,yes,0
197,'0<=X<200',12.0,'existing paid',furniture/equipment,'100<=X<500','<1',4.0,'female div/dep/mar',none,4.0,car,27.0,bank,rent,4.0,skilled,1.0,none,yes,1
198,'0<=X<200',24.0,'existing paid','used car','no known savings','>=7',4.0,'male single',none,4.0,'no known property',36.0,bank,'for free',1.0,skilled,1.0,yes,yes,0
199,'0<=X<200',18.0,'delayed previously',furniture/equipment,'<100','>=7',4.0,'male div/sep',none,3.0,'no known property',40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
200,'no checking',9.0,'critical/other existing credit',education,'500<=X<1000','>=7',4.0,'male single',none,2.0,car,52.0,none,own,2.0,skilled,1.0,yes,yes,0
201,'<0',12.0,'existing paid','new car','<100','1<=X<4',4.0,'male mar/wid',none,3.0,'real estate',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
202,'no checking',27.0,'delayed previously',business,'<100','4<=X<7',3.0,'male single',none,4.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,0
203,'<0',12.0,'existing paid',retraining,'<100','4<=X<7',4.0,'male mar/wid',none,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,1
204,'no checking',12.0,'critical/other existing credit','new car','<100','>=7',4.0,'male single',none,1.0,'real estate',38.0,none,own,2.0,'unskilled resident',2.0,none,yes,0
205,'<0',30.0,'critical/other existing credit','used car','<100','>=7',3.0,'male single',none,4.0,'no known property',38.0,none,'for free',3.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
206,'no checking',12.0,'critical/other existing credit',furniture/equipment,'<100','>=7',4.0,'male single',none,4.0,'real estate',43.0,none,own,3.0,skilled,1.0,yes,yes,0
207,'0<=X<200',12.0,'critical/other existing credit','domestic appliance','<100','4<=X<7',4.0,'male single',none,3.0,'life insurance',26.0,none,own,1.0,skilled,1.0,none,yes,0
208,'<0',24.0,'existing paid',business,'<100','1<=X<4',2.0,'male mar/wid',none,2.0,car,21.0,stores,own,1.0,'unskilled resident',1.0,none,yes,0
209,'no checking',12.0,'existing paid','used car','>=1000','4<=X<7',3.0,'male single',none,2.0,'life insurance',55.0,none,own,1.0,skilled,1.0,none,no,0
210,'no checking',9.0,'critical/other existing credit',radio/tv,'no known savings','1<=X<4',1.0,'male single',none,2.0,'real estate',33.0,none,own,2.0,skilled,2.0,none,yes,0
211,'no checking',36.0,'existing paid',radio/tv,'no known savings','>=7',2.0,'female div/dep/mar',none,4.0,'real estate',45.0,none,own,1.0,'unskilled resident',1.0,yes,yes,0
212,'<0',27.0,'no credits/all paid',business,'<100',unemployed,2.0,'male single',none,4.0,'life insurance',50.0,stores,own,2.0,skilled,1.0,yes,yes,1
213,'>=200',30.0,'delayed previously',business,'<100','>=7',4.0,'male single',none,4.0,'real estate',66.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
214,'no checking',36.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',none,2.0,car,51.0,none,own,1.0,skilled,1.0,yes,yes,0
215,'0<=X<200',6.0,'critical/other existing credit',retraining,'no known savings','4<=X<7',1.0,'female div/dep/mar',none,3.0,'life insurance',39.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
216,'<0',18.0,'no credits/all paid',business,'<100','4<=X<7',3.0,'male single',none,1.0,'life insurance',31.0,bank,own,1.0,skilled,1.0,yes,yes,0
217,'>=200',36.0,'existing paid',radio/tv,'<100','1<=X<4',2.0,'male single',none,2.0,'real estate',23.0,none,own,1.0,skilled,1.0,yes,yes,0
218,'<0',24.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male div/sep',none,2.0,'real estate',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
219,'no checking',10.0,'existing paid','new car','<100','1<=X<4',2.0,'female div/dep/mar',none,4.0,car,64.0,none,own,1.0,skilled,1.0,yes,yes,0
220,'0<=X<200',12.0,'existing paid',radio/tv,'<100','<1',4.0,'male mar/wid',guarantor,1.0,'real estate',26.0,bank,own,1.0,'unskilled resident',1.0,none,yes,0
221,'<0',12.0,'existing paid',education,'no known savings','1<=X<4',4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,bank,rent,1.0,skilled,1.0,yes,yes,0
222,'no checking',12.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,'real estate',30.0,bank,own,2.0,skilled,1.0,none,yes,0
223,'no checking',24.0,'delayed previously',business,'no known savings','1<=X<4',4.0,'male single',none,4.0,'real estate',32.0,none,own,2.0,skilled,2.0,yes,yes,0
224,'no checking',15.0,'existing paid','used car','<100','1<=X<4',3.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,yes,yes,0
225,'no checking',36.0,'no credits/all paid',repairs,'<100','1<=X<4',4.0,'male single',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,0
226,'0<=X<200',48.0,'existing paid',radio/tv,'>=1000','4<=X<7',1.0,'male single','co applicant',2.0,'no known property',27.0,bank,own,2.0,skilled,1.0,yes,yes,1
227,'<0',12.0,'existing paid',furniture/equipment,'<100','>=7',4.0,'male single',none,4.0,'no known property',53.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
228,'no checking',9.0,'existing paid',radio/tv,'<100','4<=X<7',4.0,'male single',none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,1
229,'<0',24.0,'existing paid',furniture/equipment,'<100','<1',4.0,'male single',none,1.0,'no known property',22.0,bank,'for free',1.0,skilled,1.0,none,yes,0
230,'>=200',36.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,1
231,'no checking',9.0,'existing paid','new car','500<=X<1000','>=7',2.0,'male single',none,4.0,'no known property',51.0,none,'for free',1.0,'unskilled resident',1.0,none,yes,0
232,'no checking',12.0,'existing paid',radio/tv,'100<=X<500','4<=X<7',3.0,'male single',none,1.0,'no known property',35.0,none,own,1.0,skilled,1.0,none,yes,0
233,'0<=X<200',18.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male mar/wid',guarantor,2.0,'real estate',25.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
234,'no checking',4.0,'critical/other existing credit',radio/tv,'<100','4<=X<7',2.0,'male single',none,1.0,'real estate',42.0,none,own,3.0,'unskilled resident',2.0,none,yes,0
235,'<0',24.0,'existing paid',radio/tv,'<100',unemployed,4.0,'male single',none,2.0,car,30.0,stores,own,1.0,'high qualif/self emp/mgmt',2.0,none,yes,1
236,'0<=X<200',6.0,'existing paid','new car','no known savings',unemployed,1.0,'male single',none,2.0,'life insurance',23.0,none,own,1.0,'unemp/unskilled non res',1.0,yes,yes,1
237,'0<=X<200',21.0,'existing paid',business,'100<=X<500','>=7',4.0,'male div/sep',none,2.0,car,61.0,bank,rent,2.0,'unskilled resident',1.0,none,yes,1
238,'no checking',12.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',4.0,'female div/dep/mar',none,2.0,'life insurance',35.0,none,own,2.0,skilled,1.0,none,yes,0
239,'<0',30.0,'existing paid',radio/tv,'<100','>=7',1.0,'male single',guarantor,3.0,'life insurance',39.0,none,own,1.0,skilled,2.0,none,yes,0
240,'<0',24.0,'existing paid','new car','no known savings','>=7',4.0,'female div/dep/mar',none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,1
241,'no checking',6.0,'existing paid',radio/tv,'<100','4<=X<7',3.0,'male single',none,2.0,'life insurance',51.0,none,own,1.0,skilled,2.0,none,yes,0
242,'<0',48.0,'no credits/all paid','used car','<100','>=7',3.0,'male single',none,4.0,'no known property',24.0,none,'for free',2.0,skilled,2.0,none,yes,1
243,'no checking',12.0,'critical/other existing credit',business,'<100','1<=X<4',3.0,'female div/dep/mar',none,2.0,'real estate',27.0,none,own,2.0,skilled,1.0,none,yes,0
244,'no checking',12.0,'all paid',retraining,'500<=X<1000','1<=X<4',4.0,'female div/dep/mar',none,3.0,'real estate',35.0,none,own,1.0,'unskilled resident',2.0,none,yes,0
245,'no checking',24.0,'existing paid',business,'<100','4<=X<7',4.0,'male single',none,1.0,'real estate',25.0,none,own,1.0,skilled,1.0,yes,yes,0
246,'no checking',12.0,'critical/other existing credit',radio/tv,'<100','>=7',4.0,'male single',none,4.0,'real estate',52.0,none,own,3.0,skilled,1.0,none,yes,0
247,'no checking',6.0,'no credits/all paid','new car','100<=X<500','1<=X<4',4.0,'male single',none,1.0,'no known property',35.0,bank,rent,1.0,skilled,1.0,none,no,0
248,'>=200',24.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male single',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,0
249,'no checking',18.0,'existing paid',radio/tv,'<100',unemployed,3.0,'female div/dep/mar','co applicant',4.0,'real estate',22.0,none,rent,1.0,skilled,1.0,none,yes,1
250,'<0',6.0,'critical/other existing credit','new car','>=1000','4<=X<7',3.0,'female div/dep/mar',none,4.0,'real estate',39.0,none,own,2.0,'unskilled resident',1.0,yes,yes,0
251,'>=200',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',1.0,'female div/dep/mar',none,2.0,car,46.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
252,'0<=X<200',30.0,'existing paid','new car','<100','1<=X<4',4.0,'female div/dep/mar',guarantor,2.0,'no known property',24.0,bank,own,1.0,skilled,1.0,none,yes,1
253,'no checking',24.0,'delayed previously',furniture/equipment,'100<=X<500','1<=X<4',2.0,'male single',none,3.0,'life insurance',35.0,none,own,2.0,skilled,1.0,none,yes,0
254,'0<=X<200',9.0,'existing paid',furniture/equipment,'no known savings','4<=X<7',2.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,yes,yes,0
255,'0<=X<200',60.0,'delayed previously',radio/tv,'no known savings','1<=X<4',1.0,'male single',none,1.0,'real estate',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
256,'no checking',24.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,'real estate',35.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
257,'<0',12.0,'all paid',radio/tv,'<100','1<=X<4',4.0,'male div/sep',none,1.0,'no known property',29.0,none,'for free',1.0,skilled,1.0,none,yes,1
258,'no checking',15.0,'existing paid','used car','100<=X<500','<1',1.0,'female div/dep/mar',none,4.0,car,23.0,none,own,1.0,skilled,1.0,yes,yes,0
259,'no checking',11.0,'critical/other existing credit',radio/tv,'100<=X<500',unemployed,4.0,'female div/dep/mar',none,4.0,'real estate',57.0,none,own,3.0,'unskilled resident',1.0,none,yes,0
260,'<0',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male single',none,2.0,'real estate',27.0,none,own,1.0,skilled,1.0,none,yes,0
261,'<0',24.0,'existing paid',radio/tv,'<100','>=7',4.0,'female div/dep/mar',none,4.0,car,55.0,none,own,1.0,skilled,1.0,none,yes,0
262,'<0',18.0,'critical/other existing credit','new car','<100','>=7',2.0,'male single',none,4.0,'no known property',36.0,none,'for free',3.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
263,'no checking',12.0,'critical/other existing credit',education,'<100','>=7',2.0,'female div/dep/mar',none,4.0,'no known property',57.0,bank,'for free',3.0,'unskilled resident',1.0,none,yes,0
264,'no checking',10.0,'critical/other existing credit','new car','<100','>=7',3.0,'male single',none,4.0,'real estate',32.0,none,own,2.0,'unskilled resident',2.0,none,no,0
265,'0<=X<200',15.0,'existing paid',radio/tv,'<100','>=7',4.0,'male single',none,3.0,car,37.0,none,own,1.0,skilled,2.0,none,yes,1
266,'no checking',36.0,'critical/other existing credit',business,'no known savings','>=7',4.0,'male single',none,4.0,'real estate',36.0,none,own,2.0,skilled,1.0,none,yes,0
267,'no checking',24.0,'existing paid',radio/tv,'<100','<1',4.0,'female div/dep/mar',none,3.0,car,38.0,stores,own,1.0,skilled,1.0,yes,yes,0
268,'<0',14.0,'existing paid','new car','<100','>=7',1.0,'male div/sep',none,4.0,'life insurance',45.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,1
269,'no checking',24.0,'existing paid',radio/tv,'no known savings','>=7',4.0,'male single',none,2.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,0
270,'no checking',18.0,'existing paid','new car','no known savings','4<=X<7',4.0,'male single',none,3.0,'life insurance',32.0,none,own,1.0,skilled,1.0,none,no,0
271,'no checking',12.0,'critical/other existing credit',furniture/equipment,'500<=X<1000','4<=X<7',3.0,'female div/dep/mar',none,4.0,car,37.0,none,rent,1.0,skilled,1.0,yes,yes,0
272,'0<=X<200',48.0,'all paid','new car','no known savings',unemployed,4.0,'male single','co applicant',4.0,'no known property',36.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
273,'0<=X<200',48.0,'existing paid',radio/tv,'<100','4<=X<7',4.0,'male single',none,4.0,'real estate',28.0,none,own,2.0,skilled,1.0,none,yes,1
274,'<0',30.0,'existing paid',repairs,'<100','<1',1.0,'male div/sep',none,1.0,'no known property',34.0,none,own,1.0,'unskilled resident',1.0,yes,yes,1
275,'no checking',9.0,'existing paid',radio/tv,'<100','1<=X<4',1.0,'male single',none,2.0,'real estate',32.0,none,own,1.0,skilled,2.0,none,yes,0
276,'no checking',18.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,0
277,'<0',12.0,'existing paid',furniture/equipment,'no known savings','>=7',2.0,'male div/sep',none,4.0,'life insurance',49.0,none,own,1.0,'unskilled resident',1.0,yes,yes,0
278,'no checking',6.0,'existing paid',furniture/equipment,'<100','<1',1.0,'female div/dep/mar',none,4.0,'life insurance',32.0,none,own,1.0,skilled,1.0,none,yes,1
279,'no checking',24.0,'existing paid',radio/tv,'100<=X<500','1<=X<4',4.0,'male single',none,4.0,car,29.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
280,'no checking',15.0,'critical/other existing credit','used car','>=1000','>=7',3.0,'male single',none,4.0,'no known property',23.0,none,rent,2.0,skilled,1.0,yes,yes,0
281,'no checking',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',4.0,'male single',none,2.0,'real estate',50.0,none,own,1.0,skilled,1.0,none,yes,0
282,'>=200',18.0,'all paid',radio/tv,'no known savings','4<=X<7',4.0,'male single',none,4.0,car,49.0,bank,own,1.0,'unskilled resident',1.0,none,yes,0
283,'no checking',15.0,'critical/other existing credit',furniture/equipment,'no known savings','>=7',4.0,'male single',none,4.0,'life insurance',63.0,none,own,1.0,skilled,1.0,none,yes,0
284,'0<=X<200',24.0,'critical/other existing credit','new car','100<=X<500','<1',4.0,'male div/sep',none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,0
285,'<0',47.0,'existing paid','new car','<100','<1',1.0,'female div/dep/mar',none,1.0,'real estate',35.0,none,own,1.0,'unskilled resident',1.0,yes,yes,0
286,'<0',48.0,'existing paid','used car','<100','4<=X<7',4.0,'male single',none,3.0,'life insurance',26.0,none,own,1.0,skilled,2.0,none,yes,0
287,'0<=X<200',48.0,'delayed previously',other,'100<=X<500',unemployed,2.0,'male single',none,4.0,'no known property',31.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
288,'0<=X<200',12.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'female div/dep/mar',guarantor,4.0,'real estate',49.0,none,own,2.0,skilled,1.0,yes,yes,0
289,'<0',24.0,'delayed previously',radio/tv,'<100','<1',4.0,'male mar/wid',none,4.0,'real estate',48.0,stores,own,1.0,skilled,1.0,none,yes,1
290,'no checking',12.0,'existing paid',business,'<100','1<=X<4',2.0,'male mar/wid',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,no,0
291,'0<=X<200',36.0,'existing paid','used car','<100','<1',1.0,'male mar/wid',none,4.0,car,28.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
292,'<0',24.0,'critical/other existing credit','used car','<100','>=7',2.0,'female div/dep/mar',none,4.0,'no known property',44.0,none,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
293,'>=200',42.0,'critical/other existing credit','used car','<100','>=7',4.0,'male single',none,4.0,'no known property',56.0,none,'for free',1.0,skilled,1.0,none,yes,0
294,'no checking',48.0,'critical/other existing credit',business,'no known savings','>=7',4.0,'male div/sep',none,2.0,car,46.0,bank,own,2.0,'high qualif/self emp/mgmt',2.0,none,yes,0
295,'0<=X<200',48.0,'existing paid',furniture/equipment,'<100','<1',1.0,'female div/dep/mar',none,2.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,1
296,'no checking',12.0,'existing paid','used car','no known savings','<1',1.0,'female div/dep/mar',none,4.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,0
297,'no checking',10.0,'existing paid','new car','no known savings','>=7',4.0,'male single','co applicant',2.0,'life insurance',45.0,none,own,1.0,'unskilled resident',1.0,none,no,0
298,'no checking',18.0,'existing paid',furniture/equipment,'<100','1<=X<4',3.0,'male single',none,4.0,'real estate',43.0,none,own,1.0,skilled,1.0,yes,yes,0
299,'0<=X<200',21.0,'critical/other existing credit',furniture/equipment,'>=1000','4<=X<7',3.0,'male single',none,2.0,car,32.0,none,own,2.0,skilled,1.0,yes,yes,0
300,'no checking',6.0,'existing paid','new car','<100',unemployed,1.0,'female div/dep/mar',none,4.0,'real estate',54.0,none,own,1.0,'unemp/unskilled non res',1.0,yes,yes,0
301,'0<=X<200',36.0,'no credits/all paid',radio/tv,'<100','1<=X<4',4.0,'female div/dep/mar',none,1.0,car,42.0,none,own,1.0,skilled,1.0,yes,yes,1
302,'>=200',24.0,'critical/other existing credit','new car','no known savings','4<=X<7',4.0,'male single',none,2.0,'real estate',37.0,bank,own,2.0,'unskilled resident',2.0,none,yes,1
303,'<0',10.0,'critical/other existing credit','new car','<100','4<=X<7',4.0,'male single','co applicant',3.0,'life insurance',49.0,none,own,2.0,skilled,1.0,yes,yes,0
304,'no checking',48.0,'critical/other existing credit','new car','500<=X<1000','1<=X<4',2.0,'male single',none,2.0,'no known property',44.0,bank,'for free',1.0,skilled,1.0,none,yes,1
305,'no checking',6.0,'existing paid',furniture/equipment,'>=1000','1<=X<4',4.0,'male div/sep',none,2.0,'real estate',33.0,none,own,1.0,skilled,1.0,none,yes,0
306,'no checking',30.0,'existing paid','used car','no known savings','4<=X<7',2.0,'female div/dep/mar',none,4.0,'life insurance',24.0,stores,rent,1.0,'unskilled resident',1.0,none,yes,0
307,'<0',12.0,'existing paid',radio/tv,'100<=X<500','<1',4.0,'male mar/wid',none,3.0,'no known property',33.0,none,own,1.0,'unskilled resident',1.0,yes,yes,1
308,'0<=X<200',8.0,'existing paid',furniture/equipment,'<100','1<=X<4',3.0,'female div/dep/mar',none,4.0,'real estate',24.0,none,own,1.0,skilled,1.0,none,yes,1
309,'0<=X<200',9.0,'existing paid','new car','<100','1<=X<4',4.0,'male mar/wid',none,4.0,'real estate',22.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
310,'0<=X<200',48.0,'existing paid',other,'no known savings',unemployed,3.0,'male single',none,4.0,'no known property',40.0,bank,'for free',1.0,'unemp/unskilled non res',1.0,yes,yes,0
311,'no checking',24.0,'existing paid',furniture/equipment,'100<=X<500','1<=X<4',4.0,'male single',none,1.0,car,25.0,stores,own,1.0,skilled,1.0,none,yes,0
312,'>=200',24.0,'existing paid',furniture/equipment,'<100','<1',2.0,'female div/dep/mar',none,4.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,0
313,'0<=X<200',12.0,'existing paid','new car','<100','4<=X<7',2.0,'male mar/wid',none,3.0,car,25.0,bank,own,1.0,'unskilled resident',1.0,none,yes,1
314,'>=200',4.0,'existing paid','new car','no known savings','<1',1.0,'male single',none,2.0,'real estate',29.0,none,own,1.0,'unskilled resident',2.0,none,no,0
315,'<0',36.0,'all paid',furniture/equipment,'<100','>=7',4.0,'male single',none,4.0,car,31.0,bank,own,1.0,skilled,1.0,none,yes,1
316,'<0',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male single',guarantor,3.0,'life insurance',38.0,none,own,1.0,'unskilled resident',2.0,none,yes,0
317,'0<=X<200',24.0,'existing paid',furniture/equipment,'no known savings','1<=X<4',1.0,'female div/dep/mar',none,4.0,'life insurance',48.0,none,own,1.0,'unskilled resident',1.0,yes,yes,0
318,'no checking',12.0,'critical/other existing credit',education,'<100','1<=X<4',4.0,'male single',none,2.0,car,32.0,none,own,2.0,skilled,1.0,none,yes,0
319,'<0',15.0,'delayed previously',furniture/equipment,'<100','>=7',1.0,'female div/dep/mar',none,4.0,'life insurance',27.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
320,'0<=X<200',30.0,'critical/other existing credit','new car','<100',unemployed,4.0,'male mar/wid',none,2.0,car,28.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,1
321,'<0',24.0,'existing paid',radio/tv,'<100','<1',4.0,'male div/sep',none,3.0,'life insurance',32.0,none,own,1.0,skilled,1.0,none,yes,1
322,'<0',24.0,'existing paid','used car','<100','4<=X<7',2.0,'male single',none,1.0,'no known property',34.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
